code,lat,lng,value
2328652787,-23.5834287,-46.7683053,45
1665953844,-23.5805332,-46.3878931,29
1665968894,-23.5633793,-46.4056867,22
1678551960,-23.5446196,-46.5075209,21
30197323,-23.6186488,-46.6981766,20
3305962819,-23.6447879,-46.729876,26
5252124593,-23.598773,-46.4692167,40
3318554159,-23.6854164,-46.6928752,22
5029831112,-23.6912369,-46.6770289,23
4174209443,-23.6065099,-46.5073764,103
1267558766,-23.6037638,-46.5297119,29
1267558912,-23.6052009,-46.5256945,27
1267559187,-23.6070431,-46.5261971,22
1678609448,-23.5317703,-46.5226347,24
5319270106,-23.6391656,-46.7366338,44
6351070971,-23.5070575,-46.6886336,43
2383287148,-23.5286724,-46.5891295,22
6363691844,-23.6971489,-46.6489548,66
1049512275,-23.6026604,-46.5420623,34
760105384,-23.5964574,-46.456157,31
760105404,-23.5917089,-46.443967,116
760105496,-23.5724728,-46.445368,31
1938712208,-23.6034291,-46.5992356,26
831418758,-23.5998816,-46.5787614,93
2429450802,-23.4373185,-46.7210638,24
1678679681,-23.546603,-46.5026075,23
26130502,-23.5007063,-46.5618536,89
3901685570,-23.6128261,-46.4942863,39
2433681045,-23.4575464,-46.7188769,23
4484722295,-23.5061179,-46.7203724,39
4783688749,-23.4559585,-46.7203984,21
4090477422,-23.47294,-46.7261635,36
5180997322,-23.6240362,-46.4606574,37
6774843147,-23.5925997,-46.60736,29
30456766,-23.5800535,-46.7286025,45
30470282,-23.5746985,-46.7118868,21
30473205,-23.5692256,-46.7038719,51
1108412352,-23.6555759,-46.6540559,30
1108412435,-23.6537696,-46.6587755,21
1108412493,-23.6576482,-46.6566737,24
1108412499,-23.6529686,-46.6595134,26
1108412507,-23.655243,-46.6588996,31
1733363920,-23.4929126,-46.4432451,40
1733364134,-23.493331,-46.4403265,22
30480224,-23.6481825,-46.7539183,21
814846889,-23.7560389,-46.6668204,22
2451166023,-23.5816657,-46.5855912,35
1007813836,-23.5993631,-46.708559,34
26352693,-23.6867862,-46.6945245,21
378677434,-23.5581033,-46.744557,35
4191831610,-23.6337115,-46.7709454,21
1439843032,-23.5764028,-46.6087971,40
961697536,-23.4415951,-46.7209382,64
1544706320,-23.5778199,-46.6398045,43
3901907479,-23.6077952,-46.4498257,64
3885136224,-23.5941869,-46.4232161,33
26379871,-23.6315,-46.6296408,30
810716139,-23.7382773,-46.70024,30
1678946521,-23.5520052,-46.4590035,37
3901939991,-23.6253433,-46.462492,36
3901940046,-23.6211416,-46.4505168,23
5252506354,-23.6374444,-46.6714141,36
3444765857,-23.4891091,-46.5757037,25
1984335290,-23.5537008,-46.4916117,41
5885883967,-23.5793289,-46.572193,151
458457720,-23.5630774,-46.5600685,22
4015229358,-23.5645495,-46.4156788,84
1397985814,-23.6226582,-46.6359461,34
34850270,-23.5881749,-46.6905896,42
567547219,-23.5961975,-46.5713953,37
5596526855,-23.5100711,-46.6893825,35
265577317,-23.5986236,-46.6714651,22
4808011245,-23.4199736,-46.7300821,23
1607769053,-23.5928265,-46.4737266,23
1595187452,-23.5847688,-46.7460019,28
940877768,-23.5011978,-46.6986253,23
940877851,-23.50154,-46.6993863,21
248817968,-23.520944,-46.669182,21
2350164927,-23.5261303,-46.6110254,34
2350165151,-23.5286554,-46.5968601,23
4808031302,-23.4243238,-46.7248934,80
1815127246,-23.4605292,-46.721021,29
1607782693,-23.6110131,-46.4752883,48
437573464,-23.6042728,-46.5995629,39
462747767,-23.551866,-46.5707071,21
